"S21 Log Mag"
"Frequency (Hz)","dB",
6885147000, -4.237735e+000,
6902021625, -4.217855e+000,
6918896250, -4.135148e+000,
6935770875, -4.111666e+000,
6952645500, -4.170491e+000,
6969520125, -4.291420e+000,
6986394750, -4.404628e+000,
7003269375, -4.468050e+000,
7020144000, -4.439695e+000,
7037018625, -4.291237e+000,
7053893250, -4.197983e+000,
7070767875, -4.195260e+000,
7087642500, -4.244979e+000,
7104517125, -4.271471e+000,
7121391750, -4.282383e+000,
7138266375, -4.309951e+000,
7155141000, -4.275364e+000,
7172015625, -4.235561e+000,
7188890250, -4.330239e+000,
7205764875, -4.423447e+000,
7222639500, -4.421171e+000,
7239514125, -4.352308e+000,
7256388750, -4.266920e+000,
7273263375, -4.232224e+000,
7290138000, -4.259788e+000,
7307012625, -4.320025e+000,
7323887250, -4.353820e+000,
7340761875, -4.288193e+000,
7357636500, -4.247926e+000,
7374511125, -4.224406e+000,
7391385750, -4.199691e+000,
7408260375, -4.248321e+000,
7425135000, -4.301326e+000,
7442009625, -4.307339e+000,
7458884250, -4.310605e+000,
7475758875, -4.243065e+000,
7492633500, -4.251447e+000,
7509508125, -4.272924e+000,
7526382750, -4.282486e+000,
7543257375, -4.323485e+000,
7560132000, -4.318285e+000,
7577006625, -4.285620e+000,
7593881250, -4.298376e+000,
7610755875, -4.339506e+000,
7627630500, -4.364938e+000,
7644505125, -4.366655e+000,
7661379750, -4.374698e+000,
7678254375, -4.434801e+000,
7695129000, -4.456981e+000,
7712003625, -4.422856e+000,
7728878250, -4.413561e+000,
7745752875, -4.390118e+000,
7762627500, -4.343894e+000,
7779502125, -4.354593e+000,
7796376750, -4.337251e+000,
7813251375, -4.344901e+000,
7830126000, -4.333415e+000,
7847000625, -4.346991e+000,
7863875250, -4.381279e+000,
7880749875, -4.427866e+000,
7897624500, -4.473367e+000,
7914499125, -4.495136e+000,
7931373750, -4.446442e+000,
7948248375, -4.401630e+000,
7965123000, -4.415156e+000,
7981997625, -4.397218e+000,
7998872250, -4.407651e+000,
8015746875, -4.434380e+000,
8032621500, -4.430612e+000,
8049496125, -4.420766e+000,
8066370750, -4.428525e+000,
8083245375, -4.437028e+000,
8100120000, -4.459616e+000,
8116994625, -4.476710e+000,
8133869250, -4.540833e+000,
8150743875, -4.575833e+000,
